STATENAM,YEAR,PJOWAR,PMAIZE,PWHEAT,PSUGAR,PPOTATO,PGNUT,PRICE,PBAJRA,PTUR,PRAGI,PTOBAC,PBARLEY,PGRAM,PSESAMUM,PRMSEED,PCOTTON,POPULS,PSOY,PSUNFLWR,PJUTE
BIHAR,1961,0,34.89164706,47.8794118,47.52294118,22.47247059,51.6,31.31058824,0,39.763,28.11170588,356.5984706,32.45952941,41.04129412,80.92076471,75.96229412,0,39.763,0,0,59.61235294
MAHARASHTRA,1961,37.26,33.972,53.852,42.564,45.493515,62.176,38.912,42.4,45.452,42.4,270.752,40.808,45.452,99.4,86.459114,101.928,61.488,0,0,0
KARNATAKA,1961,40.75263158,37.73684211,62.2210526,63.92105263,40.938805,63.22,72.85263158,39.99473684,51.94894737,39.99473684,323.3278947,26.712036,51.94894737,89.29911,75.42064,119.7115789,52.38736842,0,0,0
BIHAR,1962,0,33.28529412,45.7170588,51.96941176,23.68847059,53.95,34.53,0,45.07,27.77158824,276.5966471,33.02352941,42.63411765,74.15129412,83.32164706,0,45.07,0,0,38.20176471
TAMIL_NADU,1962,34.41666667,34.225,59.98,67.79333333,45.72,53.03333333,53.65,34.175,47.8125,34.175,189.1508333,25.37,47.8125,88.67583333,64.04,116.445,43.12961283,0,0,0
MADHYA_PRADESH,1962,29.7744186,27.21627907,38.1209302,55.29325581,27.16,53.6244186,45.28372093,33.00930233,33.53906977,33.00930233,325.6886047,25.37,33.53906977,79.73372093,64.04,103.0844186,47.71678428,0,0,0
ORISSA,1962,32.62615385,28.19538462,44.2823077,50.99384615,25.37461538,54.06538462,42.50461538,33.78461538,45.344,30.28323077,277.7692308,0,39.50076923,77.08615385,69.73461538,109.5415385,45.344,0,0,70.26
WEST_BENGAL,1962,0,31.396006,44.3526667,60.212,25.97066667,0,67.78733333,0,0,0,264.55933,30.92666667,44.95,0,80.4,0,0,0,0,67.688
UTTAR_PRADESH,1962,27.78291667,31.175,39.8125,43.630625,17.24458333,38.46708333,25.846875,33.4075,36.293125,33.4075,119.12,27.42666667,36.293125,90.51291667,73.25,86.73,36.293125,0,0,43.97166667
ANDHRA_PRADESH,1962,35.08421053,29.66842105,52.7,38.96,31.05,53.44157895,58.15789474,35.15789474,46.91315789,35.15789474,211.4268421,25.37,46.91315789,71.67736842,64.04,117.2026316,43.13736979,0,0,0
KARNATAKA,1962,39.58421053,35.96315789,58.3210526,59.94210526,46.74,68.36526316,82.21052632,36.76315789,56.92526316,36.76315789,305.4447368,25.37,56.92526316,88.86,53.93,127.8042105,55.47421053,0,0,0
HARYANA,1962,30.27333333,30.82,41.6716667,64.02833333,28.92416667,58.975,33.025,34.2,37.305,34.2,209.43,30.07333333,37.305,90.62666667,73.72583333,91.11333333,37.305,0,0,0
MAHARASHTRA,1962,39.804,33.432,52.116,57.732,48.04,63.584,39.38,43.812,43.948,43.812,210.828,37.404,43.948,102.1,88.17,115.464,62.06,0,0,0
GUJARAT,1962,38.29444444,32.10555556,54.3388889,63.91666667,26.35,58.48888889,43.19444444,44.10555556,43.57222222,44.10555556,96.01666667,33.8,43.57222222,94.59444444,79.2,108.6444444,61.44444444,0,0,0
PUNJAB,1962,38.206,32.263,41.6,60.808,33.665,54.0836,41.043,35.617,39.689,35.617,218.6709,31.436,39.689,103.6856,74.663,81.99,39.689,0,0,0
RAJASTHAN,1962,32.63076923,30.42230769,43.4538462,69.32115385,31.05,65.63423077,77.50961538,36.61230769,38.70769231,36.61230769,247.1992308,30.83076923,38.70769231,95.72307692,86.41153846,161.9238462,34.95,0,0,0
MADHYA_PRADESH,1963,32.49302326,26.65348837,48.5813953,97.27744186,40.33,51.05372093,49.4627907,35.38837209,49.94046512,35.38837209,414.0197674,36.22,49.94046512,80.44953488,72.17,111.4951163,54.69621714,0,0,0
WEST_BENGAL,1963,0,32.782074,55.1026667,66.838,40.40333333,0,73.66466667,0,0,0,287.06363,55.76,71.91533333,0,118.456,0,0,0,0,91.2
PUNJAB,1963,44.394,38.409,45.479,95.419,51.3353,57.5439,46.026,39.196,52.623,39.196,246.5954,39.523,52.623,114.7166,95.1877,89.641,52.623,0,0,0
RAJASTHAN,1963,39.55769231,39.41653846,56.6692308,101.4384615,44.1,69.12692308,90.23846154,45.03730769,49.16538462,45.03730769,270.9930769,41.44,49.16538462,110.8019231,106.5223077,170.6038462,39.11538462,0,0,0
ANDHRA_PRADESH,1963,38.74210526,30.92631579,58.4,55.52,44.1,56.78473684,64.38947368,38.17368421,55.53210526,38.17368421,252.9363158,36.22,55.53210526,84.22263158,72.17,108.5242105,47.87683763,0,0,0
UTTAR_PRADESH,1963,34.94104167,32.86395833,55.6922917,57.37979167,31.669375,50.94333333,27.47916667,39.39958333,51.445,39.39958333,103.03,41.67708333,51.445,90.605,85.6025,80.54,51.445,0,0,52.08229167
