STATENAM,YEAR,QWHEAT,QRICE,QMAIZE,QJOWAR,QBAJRA,QSUGAR,QPOTATO,QGNUT,QBARLEY,QTOBAC,QGRAM,QTUR,QRAGI,QSESAMUM,QRMSEED,QCOTTON,QOPULS,QSOY,QSUNFLWR,QJUTE
WEST_BENGAL,1965,34.0202634,4889.94447,42.055,0,0,178.6446,859.4837348,0,29.8555745,13.585,106.7070465,0,0,0,41.2964194,0,0,0,0,403.8048
BIHAR,1965,469.258,4324.396,757.231,0,0,604.499,788.396,5.844,182.071,10.952,336.446,147.768,98.657,8.257,33.361,0,0,0,0,160.32852
PUNJAB,1965,1943,290.835,601,5.299,81.145,539,210,158.866,70.547,0.487,360,34.733,0,3.527,49.3,131.616,16.3,0,0,0
TAMIL_NADU,1965,0,3524.2,4.3,512.8,232.2,875.39,0,822.88,0,17.17,1.27,77.932,0,38.17,0,54.15,100.69,0,0,0
GUJARAT,1965,553.7,255.3,228.7,338.2,780.3,231.5,0,1001.5,52,75.8,12.9,206.865,0,26.3,16.1,254.4,40.5,0,0,0
BIHAR,1966,371.662,1571.141,948.65,0,0,445.434,764.969,2.627,120.376,11.925,113.321,90.692,82.029,4.524,21.811,0,0,0,0,170.23932
ANDHRA_PRADESH,1966,2.8,3828,172.5,1203.7,362.8,637.59,0,811.67,0,158.09,17.42,67.234,0,46.81,0,25.21,234.33,0,0,0
KARNATAKA,1966,41.2,1649.9,16.1,1310.5,145.8,792.35,0,563.3,0,14.68,54.94,181.318,0,0,0,49.23,128.26,0,0,0
UTTAR_PRADESH,1966,4003.163,2610.206,1235.513,454.815,574.236,4286.5706,827.25,309.655,1237.021,0,961.884,762.109,0,16.1469165,67.8440841,0,631.304,0,0,27.75348
HARYANA,1966,1027,220.223,119,43.733,343.079,518,77.7,21.399,207,1.075,494,27.958,0,0.917,77,49.8519,19.24,0,0,0
ORISSA,1966,14.197,3691.79,43.928,10.059,2.422,176.916,383.645,75.342,0,8.472,11.446,16.724,112.964,39.749,25.147,0.614,0,0,0,51.82236
MADHYA_PRADESH,1966,1030.8,1907.8,452.8,1379.9,191.7,102.53,337.668,159,138.631,1.11,615.1,417.363,0,53.5,0,50.38,244.7,0,0,0
MAHARASHTRA,1966,366.8,1053.4,47.5,3101.2,404.2,1113.2,0,472.7,145.2,7.7,112.5,436.3,0,29.5,0,195.9,267,0,0,0
GUJARAT,1966,457.6,298.8,175.1,365.2,753.9,151.3,0,912,29,86.2,10.1,206.865,0,34.9,16.3,250.1,40.1,0,0,0
TAMIL_NADU,1966,0,3791,8.5,557.9,303.8,760.05,0,882.6,0,16.46,0.99,77.932,0,43.89,0,60.26,111.3,0,0,0
PUNJAB,1966,2484.2,335,578,6.479,150.333,411,172.085,184.478,87,0.567,494.1,34.733,0,6.237,60.955,131.22,18.59,0,0,0
RAJASTHAN,1966,872,23,614,346,1229,39.3,0,366,474,3.6,518,7.411,0,63,54,33.3,7,0,0,0
